Name,Age,Occupation,Hometown,ElimWeek,Season
Ryan Sutter,29,Firefighter,"Vail, Colorado",,1
Charlie Maher,28,Financial Analyst,"Hermosa Beach, California",6.0,1
Russ,30,Writer,"San Rafael, California",5.0,1
Greg T.,28,Importer,"Manhattan, New York",4.0,1
Bob Guiney,31,Mortgage Broker,"Ferndale, Michigan",3.0,1
Jamie Blyth,27,Professional Basketball Player,"Chicago, Illinois",3.0,1
Mike,24,Sales and Consulting,"Cincinnati, Ohio",3.0,1
Rob,29,Computer Programmer,"Dallas, Texas",3.0,1
Brian C.,28,Mortgage Broker,"Dallas, Texas",2.0,1
Brian S.,28,Sales Engineer,"Dallas, Texas",2.0,1
Brook,29,Rodeo Cowboy,"Dallas, Texas",2.0,1
Jack,27,Firefighter,"Pepper Pike, Ohio",2.0,1
Jeff,25,Professional Football Player,"San Diego, California",2.0,1
Josh,31,Radio Advertising Executive,"Boca Raton, Florida",2.0,1
Brian H.,30,National Sales Manager,"Cleveland, Ohio",2.0,1
Billy,28,Firefighter,"Hermosa Beach, California",1.0,1
Brian K.,31,Breast Implant Sales,"San Francisco, California",1.0,1
Chris,35,V.P. of Auto Parts Company,"Sugarloaf, Pennsylvania",1.0,1
Duane,28,Flight Instructor,"Chisago City, Minnesota",1.0,1
Eric,33,Commercial Pilot,"St. Louis, Missouri",1.0,1
Gregg H.,34,Marble Company Owner,"Freehold, New Jersey",1.0,1
Matt,42,Gym Owner,"Marina Del Rey, California",1.0,1
Paul,26,Telecommunications,"Honolulu, Hawaii",1.0,1
Peter,25,Construction Business Owner,"Long Island, New York",1.0,1
Wayne,37,Commercial Pilot,"Sacramento, California",1.0,1
Ian McKee,29,Equity Research Sales,"New York, New York",,2
Matthew Hickl,28,Pharmaceutical Sales Rep,"Friendswood, Texas",8.0,2
Chad,31,Pharmaceutical Sales Rep,"Buffalo, New York",6.0,2
Lanny,26,Stallion and Breeding Manager,"Aubrey, Texas",5.0,2
Brad,29,Pharmaceutical Sales Rep,"Grand Rapids, Michigan",4.0,2
Ryan M.,30,Financial Advisor,"Santa Barbara, California",4.0,2
Sean,31,CPA,"Wall, New Jersey",4.0,2
Rick,29,Business Manager,"San Diego, California",3.0,2
Ryan R.,29,Sales/Marketing,"Wynola, California",3.0,2
Todd,36,Options Trader,"San Francisco, California",3.0,2
Damon,28,Arena Football Player,"Cardiff, California",2.0,2
Eliot,25,Options Trader,"Mountain View, California",2.0,2
Harold Hersh,29,Professional Hockey Player,"Rock Island, Illinois",2.0,2
Marcus,26,Personal Trainer,"Los Angeles, California",2.0,2
Robert,32,Alliance Development,"El Segundo, California",2.0,2
Aaron,32,Title and Escrow Sales,"Sacramento, California",1.0,2
Andy Chang,33,Dentist,"Dallas, Texas",1.0,2
Anselm Clinard,32,Art Designer,"Venice, California",1.0,2
Brian,31,Attorney,"Quincy, Massachusetts",1.0,2
Chris,31,Accountant,"Boston, Massachusetts",1.0,2
Cory Higgins,24,Small Business Owner,"Long Beach Island, New Jersey",1.0,2
Jeff O'Quinn,30,Pharmaceutical Sales Rep,"Macon, Georgia",1.0,2
Justin,25,Professional Baseball Player,"Orlando, Florida",1.0,2
Keith,31,Financial Analyst,"Baltimore, Maryland",1.0,2
Trever,35,Restaurateur,"North Wales, Pennsylvania",1.0,2
Jesse Csincsak,26,Professional snowboarder,"Breckenridge, Colorado",,4
Jason Mesnick,31,Account executive,"Cleveland, Ohio",8.0,4
Jeremy Anderson,30,Real estate attorney,"Dallas, Texas",7.0,4
Graham Bunn,29,Professional basketball player,"Raleigh, North Carolina",6.0,4
Sean Ramey,33,Martial artist,"Louisville, Kentucky",5.0,4
Blaine Twilley,33,Debt manager,"Tulsa, Oklahoma",5.0,4
Brian Westendorf,31,High school football coach,"Balch Springs, Texas",4.0,4
"Frederick ""Fred"" Greif",30,Lawyer,"Skokie, Illinois",4.0,4
Robert Fair,28,Chef,"San Francisco, California",4.0,4
Paul Brosseau,23,Sales manager,"Bonnyville, Alberta",3.0,4
Ronald Mayer,36,Barber shop owner,"Greeley, Colorado",3.0,4
Richard Mathy,27,Science teacher,"Sauquoit, New York",3.0,4
"Christopher ""Chris"" Bradshaw",29,Medical sales rep.,"Fort Worth, Texas",2.0,4
Eric Papachristos,32,Senior analyst,"Boston, Massachusetts",2.0,4
Ryan Hoag,28,Professional football player,"Minneapolis, Minnesota",2.0,4
Brian Winchester,29,Computer network consultant,"New Castle, Indiana",1.0,4
Chandler Fulton,25,Insurance rep.,"Virginia Beach, Virginia",1.0,4
Donato Capodanno,26,Sales rep.,"Lexington, South Carolina",1.0,4
"Gregory ""Greg"" Matthew",28,Personal trainer,"Rockport, Massachusetts",1.0,4
Jeffrey Harris,27,Mathematics teacher,"Miami, Florida",1.0,4
"Jonathan ""Jon"" Konkel",35,Resort manager,"Williston, North Dakota",1.0,4
Luke Hamilton,27,Oyster farmer,"Faith, North Carolina",1.0,4
Patrick Carlson,26,Financial analyst,"Glenwood, Illinois",1.0,4
Patrick Durrere,27,Internet marketing,"Elmhurst, Illinois",1.0,4
Spero Stamboulis,38,Actor,"Ellington, Connecticut",1.0,4
Ed Swiderski,29,Technology Consultant,"Monroe, Michigan",,5
Kiptyn Locke,31,Business Developer,"Encinitas, California",10.0,5
Reid Rosenthal,30,Realtor,"Upper Dublin, Pennsylvania",9.0,5
